X,Y,BusStopID,CreateDate,LastEditDate
1563628.8982,5176815.0813,4788,,
1563639.4681,5182436.8943,4789,,
1563643.4535,5177348.927,4790,,
1563655.5241,5177372.2044,4791,,
1563679.7671,5184281.3882,4792,,
1563681.3077,5184250.6214,4793,,
1563683.9909,5182517.7767,4794,,
1563705.5419,5179497.9531,4795,,
1563749.2217,5182579.7344,4796,,
1563777.1245,5175045.2084,4797,,
1563786.3216,5179517.8359,4798,,
1563793.9422,5175040.9677,4799,,
1563798.2436,5179133.0918,4800,,
1563809.1846,5181447.2389,4801,,
1563823.4001,5181644.228,4802,,
1563824.312,5179102.2681,4803,,
1563831.0726,5181630.2755,4804,,
1563879.3285,5177510.3519,4805,,
1563882.1998,5175215.7676,4806,,
1563889.0536,5177534.3937,4807,,
1563916.5349,5181449.6261,4808,,
1563925.7172,5182495.2547,4809,,
1563933.9315,5182504.0059,4810,,
1563939.5463,5175170.6179,4811,,
1563946.7856,5181767.8693,4812,,
1563957.258,5175339.7508,4813,,
1563961.253,5180640.014,4814,,
1563968.1205,5181993.2056,4815,,
1563975.4954,5181978.9848,4816,,
1563978.7065,5181741.641,4817,,
1564015.1848,5180592.0687,4818,,
1564041.2217,5179761.3533,4819,,
1564049.1805,5182155.4452,4820,,
1564058.5769,5182212.1812,4821,,
1564076.126,5175418.3875,4822,,
1564083.4962,5179862.7679,4823,,
1564118.3636,5183869.6154,4824,,
1564119.2227,5175980.1736,4825,,
1564120.3842,5183897.0361,4826,,
1564120.4537,5182360.4901,4827,,
1564128.4928,5182341.4859,4828,,
1564161.2013,5181350.3126,4829,,
1564170.6338,5175766.4414,4830,,
1564171.1624,5179354.3383,4831,,
1564175.4542,5176019.257,4832,,
1564175.3232,5182460.5602,4833,,
1564179.2775,5179377.9934,4834,,
1564181.3073,5180522.4427,4835,,
1564198.7834,5182406.9758,4836,,
1564201.7934,5174964.6231,4837,,
1564205.1136,5174953.7233,4838,,
1564215.7219,5175371.9537,4839,,
1564226.9408,5181682.9815,4840,,
1564235.5627,5181697.0323,4841,,
1564236.8094,5181339.5312,4842,,
1564241.3242,5180522.5956,4843,,
1564254.4148,5175789.245,4844,,
1564261.6063,5175362.247,4845,,
1564282.0867,5185890.2882,4846,,
1564283.7323,5183754.3582,4847,,
1564297.3635,5183711.6831,4848,,
1564298.0513,5185875.0465,4849,,
1564310.5346,5176124.12,4850,,
1564316.9717,5183888.0858,4851,,
1564317.9201,5182834.2072,4852,,
1564318.5553,5179825.2482,4853,,
1564322.9695,5179801.9597,4854,,
1564334.4869,5183969.9197,4855,,
1564342.6429,5182864.2249,4856,,
1564354.7262,5176119.3236,4857,,
1564356.1235,5179228.9444,4858,,
